claim_id,policy_id,total_claims,claim_history_amount,last_claim_reason,claim_request,claim_status
1,1,2,97859,Earthquake (Fire and Shock Damage),Submitted,Approved
2,2,0,0,,,
3,3,0,0,,,Flagged
4,4,0,0,,,
5,5,3,322552,"Fire, Explosion, Self-Ignition or Lightning",,
6,6,1,64909,Earthquake (Fire and Shock Damage),,
7,7,0,0,,,
8,8,1,40177,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
9,9,0,0,,,
10,10,1,70366,"Fire, Explosion, Self-Ignition or Lightning",,
11,11,1,58721,"Burglary, Housebreaking or Theft",,
12,12,0,0,,,
13,13,2,169358,"Burglary, Housebreaking or Theft",,
14,14,0,0,,,
15,15,0,0,,,
16,16,3,162920,"Burglary, Housebreaking or Theft",,
17,17,1,51229,Malicious Act,,
18,18,1,156574,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
19,19,0,0,,,
20,20,1,134410,"Burglary, Housebreaking or Theft",,
21,21,1,146578,Malicious Act,,
22,22,5,218342,Terrorist Activity,,
23,23,0,0,,,
24,24,1,54421,Accidental External Means,,
25,25,1,96747,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
26,26,1,59615,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
27,27,0,0,,,
28,28,2,35579,Terrorist Activity,,
29,29,4,348666,Earthquake (Fire and Shock Damage),,
30,30,0,0,,,
31,31,2,89300,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
32,32,1,87692,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
33,33,2,74733,Accidental External Means,,
34,34,3,182381,"Burglary, Housebreaking or Theft",,
35,35,1,40359,"Fire, Explosion, Self-Ignition or Lightning",,
36,36,0,0,,,
37,37,0,0,,,
38,38,1,94714,Landslide or Rockslide,,
39,39,1,61356,Earthquake (Fire and Shock Damage),,
40,40,1,47391,Malicious Act,,
41,41,0,0,,,
42,42,0,0,,,
43,43,5,965390,Earthquake (Fire and Shock Damage),,
44,44,3,118716,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
45,45,0,0,,,
46,46,2,50021,"Fire, Explosion, Self-Ignition or Lightning",,
47,47,1,69985,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
48,48,0,0,,,
49,49,2,89473,"Fire, Explosion, Self-Ignition or Lightning",,
50,50,1,249603,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
51,51,1,43605,Earthquake (Fire and Shock Damage),,
52,52,0,0,,,
53,53,0,0,,,
54,54,0,0,,,
55,55,2,171660,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
56,56,1,35149,Landslide or Rockslide,,
57,57,2,316722,Riot and Strike,,
58,58,1,133755,Terrorist Activity,,
59,59,1,50760,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
60,60,1,184060,"Burglary, Housebreaking or Theft",,
61,61,1,33669,Accidental External Means,,
62,62,2,213047,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
63,63,0,0,,,
64,64,1,115230,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
65,65,2,155786,"Burglary, Housebreaking or Theft",,
66,66,0,0,,,
67,67,2,278625,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
68,68,2,129416,"Burglary, Housebreaking or Theft",,
69,69,0,0,,,
70,70,3,230358,"Fire, Explosion, Self-Ignition or Lightning",,
71,71,4,137766,Earthquake (Fire and Shock Damage),,
72,72,0,0,,,
73,73,2,97831,Terrorist Activity,,
74,74,1,94504,Earthquake (Fire and Shock Damage),,
75,75,2,58548,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
76,76,1,54345,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
77,77,3,340820,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
78,78,0,0,,,
79,79,1,42433,Landslide or Rockslide,,
80,80,3,474666,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
81,81,1,115825,Accidental External Means,,
82,82,0,0,,,
83,83,1,41308,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
84,84,1,105087,Malicious Act,,
85,85,3,476904,"Fire, Explosion, Self-Ignition or Lightning",,
86,86,4,237082,Landslide or Rockslide,,
87,87,1,58076,Earthquake (Fire and Shock Damage),,
88,88,3,94927,Landslide or Rockslide,,
89,89,2,214619,Earthquake (Fire and Shock Damage),,
90,90,4,282116,Landslide or Rockslide,,
91,91,4,375682,Malicious Act,,
92,92,3,412876,"Fire, Explosion, Self-Ignition or Lightning",,
93,93,1,67302,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
94,94,1,89879,"Burglary, Housebreaking or Theft",,
95,95,1,83174,Terrorist Activity,,
96,96,0,0,,,
97,97,0,0,,,
98,98,1,37982,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
99,99,2,301210,Accidental External Means,,
100,100,0,0,,,
101,101,0,0,,,
102,102,1,136149,Malicious Act,,
103,103,3,177741,Landslide or Rockslide,,
104,104,0,0,,,
105,105,1,56492,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
106,106,3,175546,Malicious Act,,
107,107,0,0,,,
108,108,0,0,,,
109,109,2,234574,Malicious Act,,
110,110,3,284608,Malicious Act,,
111,111,0,0,,,
112,112,1,18255,Accidental External Means,,
113,113,0,0,,,
114,114,0,0,,,
115,115,0,0,,,
116,116,2,97012,"Burglary, Housebreaking or Theft",,
117,117,1,26593,Landslide or Rockslide,,
118,118,1,181531,Earthquake (Fire and Shock Damage),,
119,119,1,37167,Landslide or Rockslide,,
120,120,2,163684,"Burglary, Housebreaking or Theft",,
121,121,0,0,,,
122,122,0,0,,,
123,123,1,106157,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
124,124,2,225599,Landslide or Rockslide,,
125,125,1,93697,Terrorist Activity,,
126,126,3,139533,Terrorist Activity,,
127,127,0,0,,,
128,128,0,0,,,
129,129,0,0,,,
130,130,1,53815,Terrorist Activity,,
131,131,1,144623,Earthquake (Fire and Shock Damage),,
132,132,0,0,,,
133,133,0,0,,,
134,134,3,429715,Earthquake (Fire and Shock Damage),,
135,135,0,0,,,
136,136,0,0,,,
137,137,3,266622,"Fire, Explosion, Self-Ignition or Lightning",,
138,138,1,66364,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
139,139,2,305149,"Fire, Explosion, Self-Ignition or Lightning",,
140,140,0,0,,,
141,141,3,517041,"Burglary, Housebreaking or Theft",,
142,142,1,91045,Landslide or Rockslide,,
143,143,0,0,,,
144,144,2,204023,Malicious Act,,
145,145,1,72365,Landslide or Rockslide,,
146,146,1,122142,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
147,147,2,260742,"Burglary, Housebreaking or Theft",,
148,148,0,0,,,
149,149,1,192313,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
150,150,1,53586,Landslide or Rockslide,,
151,151,2,61363,Riot and Strike,,
152,152,1,84906,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
153,153,1,52689,Terrorist Activity,,
154,154,2,288825,Terrorist Activity,,
155,155,3,65651,Accidental External Means,,
156,156,2,182233,Landslide or Rockslide,,
157,157,0,0,,,
158,158,1,66164,Riot and Strike,,
159,159,0,0,,,
160,160,0,0,,,
161,161,0,0,,,
162,162,2,190438,Accidental External Means,,
163,163,1,99159,"Fire, Explosion, Self-Ignition or Lightning",,
164,164,0,0,,,
165,165,1,107515,"Fire, Explosion, Self-Ignition or Lightning",,
166,166,0,0,,,
167,167,3,237544,Landslide or Rockslide,,
168,168,3,297816,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
169,169,3,135452,"Burglary, Housebreaking or Theft",,
170,170,3,230850,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
171,171,0,0,,,
172,172,1,103161,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
173,173,0,0,,,
174,174,4,378552,Terrorist Activity,,
175,175,1,156776,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
176,176,4,569727,Earthquake (Fire and Shock Damage),,
177,177,1,50447,Terrorist Activity,,
178,178,3,438226,"Fire, Explosion, Self-Ignition or Lightning",,
179,179,3,216547,Terrorist Activity,,
180,180,1,20459,Malicious Act,,
181,181,5,527215,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
182,182,1,64669,Accidental External Means,,
183,183,0,0,,,
