policy_no,policy_type,idv_sum_insured,status,next_renewal,balance_amount
POL-00128178,Private Car Package - Zero Depreciation,550000,Active,11/1/2026,366887
POL-00150244,Private Car Package - Standard,750000,Flagged,3/16/2025,467884
POL-00151258,Private Car Package - Standard,750000,Active,10/26/2025,619251
POL-00229001,Private Car Package - Standard,750000,Active,2/23/2025,750000
POL-00437696,Private Car Package - Zero Depreciation,600000,Active,4/16/2026,600000
POL-00673177,Private Car Package - Zero Depreciation,595000,Active,5/4/2025,520914
POL-00811212,Private Car Package - Zero Depreciation,595000,Active,8/13/2025,482569
POL-00885543,Private Car Package - Zero Depreciation,840000,Active,6/18/2026,749552
POL-00924006,Private Car Package - Standard,350000,Active,11/16/2026,327888
POL-00956147,Private Car Package - Zero Depreciation,1050000,Active,11/7/2025,965918
POL-00957280,Private Car Package - Standard,550000,Flagged,3/17/2025,302904
POL-00989016,Private Car Package - Zero Depreciation,600000,Active,1/20/2026,600000
POL-01418585,Private Car Package - Zero Depreciation,1050000,Active,6/10/2025,789258
POL-01634035,Private Car Package - Zero Depreciation,1050000,Active,3/23/2026,993508
POL-01636995,Private Car Package - Standard,350000,Active,8/30/2026,350000
POL-01699319,Private Car Package - Zero Depreciation,1020000,Active,9/13/2026,870986
POL-01829985,Private Car Package - Zero Depreciation,1050000,Active,9/12/2026,908292
POL-01836707,Private Car Package - Zero Depreciation,489999,Active,9/2/2026,405093
POL-01894938,Private Car Package - Standard,750000,Active,5/7/2026,623544
POL-01963011,Private Car Package - Zero Depreciation,1050000,Flagged,3/19/2025,84610
POL-02018441,Private Car Package - Standard,550000,Active,5/22/2026,550000
POL-02193595,Private Car Package - Zero Depreciation,1050000,Active,9/17/2026,992967
POL-02253626,Private Car Package - Standard,350000,Active,7/11/2026,281268
POL-02602902,Private Car Package - Zero Depreciation,770000,Active,9/25/2025,648415
POL-02748115,Private Car Package - Zero Depreciation,489999,Active,10/11/2025,420648
POL-02878712,Private Car Package - Standard,350000,Flagged,4/3/2025,261394
POL-02975749,Private Car Package - Zero Depreciation,489999,Active,2/24/2025,489999
POL-03018088,Private Car Package - Zero Depreciation,840000,Active,5/15/2025,593503
POL-03105472,Private Car Package - Zero Depreciation,840000,Active,8/3/2025,755379
POL-03167461,Private Car Package - Zero Depreciation,840000,Active,4/16/2025,840000
POL-03211171,Private Car Package - Standard,350000,Active,2/7/2026,350000
POL-03220751,Private Car Package - Zero Depreciation,1275000,Active,6/27/2025,1028019
POL-03606086,Private Car Package - Standard,550000,Active,7/5/2025,349482
POL-03631358,Private Car Package - Standard,750000,Active,4/20/2025,480969
POL-03664978,Private Car Package - Standard,550000,Active,7/30/2025,550000
POL-03720584,Private Car Package - Standard,550000,Flagged,12/2/2025,376618
POL-03743596,Private Car Package - Zero Depreciation,1020000,Active,7/12/2026,1020000
POL-03761263,Private Car Package - Standard,550000,Active,4/26/2025,449701
POL-03861588,Private Car Package - Standard,350000,Active,11/24/2025,350000
POL-03951966,Private Car Package - Zero Depreciation,840000,Active,6/14/2026,840000
POL-04077296,Private Car Package - Zero Depreciation,489999,Active,6/4/2025,489999
POL-04335672,Private Car Package - Zero Depreciation,550000,Active,4/27/2026,550000
POL-04527954,Private Car Package - Zero Depreciation,550000,Active,10/14/2026,550000
POL-04788266,Private Car Package - Standard,750000,Active,11/23/2025,461056
POL-04831198,Private Car Package - Zero Depreciation,489999,Active,9/14/2025,464755
POL-04840821,Private Car Package - Standard,750000,Active,6/28/2026,707365
POL-04976875,Private Car Package - Zero Depreciation,489999,Active,2/4/2026,439978
POL-05672130,Private Car Package - Zero Depreciation,770000,Active,9/20/2026,610349
POL-05808899,Private Car Package - Standard,550000,Active,4/7/2025,488644
POL-05831782,Private Car Package - Standard,750000,Active,8/14/2026,655286
POL-05845564,Private Car Package - Zero Depreciation,1275000,Flagged,9/4/2026,735433
POL-05849902,Private Car Package - Standard,550000,Flagged,10/1/2025,412234
POL-05985500,Private Car Package - Zero Depreciation,1050000,Active,4/10/2026,857687
POL-06199754,Private Car Package - Zero Depreciation,840000,Active,2/4/2026,840000
POL-06380378,Private Car Package - Standard,350000,Active,4/29/2025,350000
POL-06464830,Private Car Package - Zero Depreciation,1050000,Active,2/13/2026,870274
POL-06653216,Private Car Package - Standard,350000,Active,9/22/2026,292054
POL-06709064,Private Car Package - Standard,550000,Active,12/6/2025,550000
POL-06711000,Private Car Package - Zero Depreciation,350000,Active,9/27/2025,350000
POL-06738978,Private Car Package - Zero Depreciation,840000,Active,5/25/2026,840000
POL-06840344,Private Car Package - Zero Depreciation,770000,Active,1/26/2026,705195
POL-06939391,Private Car Package - Zero Depreciation,1050000,Flagged,1/18/2026,312682
POL-06952784,Private Car Package - Zero Depreciation,750000,Active,6/17/2025,652988
POL-07029880,Private Car Package - Zero Depreciation,595000,Active,6/16/2026,494098
POL-07233027,Private Car Package - Zero Depreciation,600000,Active,2/2/2026,548622
POL-07331140,Private Car Package - Zero Depreciation,595000,Active,9/10/2026,529984
POL-07448725,Private Car Package - Standard,600000,Active,7/18/2025,600000
POL-07791375,Private Car Package - Zero Depreciation,750000,Active,6/15/2025,634770
POL-07800189,Private Car Package - Zero Depreciation,489999,Active,2/23/2026,407125
POL-07951251,Private Car Package - Zero Depreciation,840000,Active,8/20/2025,746650
POL-08146207,Private Car Package - Standard,750000,Active,11/29/2025,750000
POL-08232014,Private Car Package - Standard,600000,Active,4/27/2026,600000
POL-08313202,Private Car Package - Zero Depreciation,935000,Active,1/29/2026,935000
POL-08336409,Private Car Package - Zero Depreciation,595000,Active,2/12/2026,595000
POL-08342847,Private Car Package - Zero Depreciation,595000,Active,4/9/2025,595000
POL-08473447,Private Car Package - Zero Depreciation,935000,Active,4/4/2025,842854
POL-08493726,Private Car Package - Zero Depreciation,489999,Active,5/6/2025,410225
POL-08542552,Private Car Package - Zero Depreciation,1050000,Active,8/29/2025,740938
POL-08790834,Private Car Package - Zero Depreciation,1050000,Active,9/12/2025,1050000
POL-08879835,Private Car Package - Zero Depreciation,770000,Active,10/20/2026,690743
POL-08887845,Private Car Package - Standard,600000,Active,2/11/2025,516473
POL-08906310,Private Car Package - Zero Depreciation,1050000,Active,8/11/2025,1050000
POL-08907219,Private Car Package - Zero Depreciation,840000,Active,6/10/2026,515311
POL-08979492,Private Car Package - Zero Depreciation,1020000,Active,6/7/2026,866941
POL-09029325,Private Car Package - Standard,750000,Flagged,8/24/2025,443934
POL-09279023,Private Car Package - Standard,550000,Active,6/5/2026,432234
POL-09301405,Private Car Package - Zero Depreciation,770000,Active,6/8/2026,711924
POL-09352219,Private Car Package - Zero Depreciation,935000,Flagged,2/15/2026,417959
POL-09361356,Private Car Package - Zero Depreciation,840000,Flagged,10/12/2025,555392
POL-09557151,Private Car Package - Standard,350000,Active,7/27/2025,304969
POL-09687920,Private Car Package - Zero Depreciation,489999,Active,10/5/2026,489999
POL-09731607,Private Car Package - Zero Depreciation,840000,Flagged,8/4/2026,491334
POL-09844123,Private Car Package - Standard,350000,Active,8/20/2026,350000
POL-09996647,Private Car Package - Standard,600000,Active,11/23/2025,600000
POL-10320537,Private Car Package - Zero Depreciation,350000,Active,3/18/2025,304397
POL-10394340,Private Car Package - Zero Depreciation,770000,Flagged,4/21/2025,223672
POL-10713379,Private Car Package - Standard,350000,Active,10/17/2026,290385
POL-10922977,Private Car Package - Zero Depreciation,770000,Active,7/11/2026,699772
POL-11005455,Private Car Package - Zero Depreciation,840000,Active,12/16/2025,570417
POL-11068478,Private Car Package - Standard,600000,Flagged,11/2/2025,337353
POL-11240577,Private Car Package - Zero Depreciation,840000,Active,7/3/2026,840000
POL-11373839,Private Car Package - Standard,550000,Active,7/25/2025,462308
POL-11481708,Private Car Package - Zero Depreciation,935000,Active,7/19/2025,749730
