car_number,vehicle_model
AP 01 3098,Honda City
AP 04 8923,Tata Nexon
AP 05 6251,Honda City
AP 06 4874,Tata Nexon
AP 07 1252,Maruti Swift
AP 07 7574,Hyundai Creta
AP 08 7900,Maruti Swift
AP 14 4076,Maruti Swift
AP 17 8291,Hyundai Creta
AP 20 2385,Hyundai Creta
AP 21 1065,Maruti Swift
AP 21 2898,Maruti Swift
AP 22 4347,Maruti Swift
AP 25 8160,Maruti Swift
AP 25 9619,Maruti Swift
AP 27 1529,Honda City
AP 27 6826,Honda City
AP 28 7161,Tata Nexon
AP 28 8722,Hyundai Creta
AP 31 3397,Hyundai Creta
AP 37 8240,Tata Nexon
AP 38 8806,Hyundai Creta
AP 39 4894,Maruti Swift
AP 39 5434,Maruti Swift
AP 39 9404,Hyundai Creta
AP 40 3679,Tata Nexon
AP 40 6546,Maruti Swift
AP 43 7150,Tata Nexon
AP 45 7996,Tata Nexon
AP 46 3840,Maruti Swift
AP 54 4559,Maruti Swift
AP 56 1031,Maruti Swift
AP 59 4797,Tata Nexon
AP 59 8020,Maruti Swift
AP 62 1027,Maruti Swift
AP 63 7862,Honda City
AP 64 0654,Maruti Swift
AP 64 7358,Hyundai Creta
AP 68 9059,Honda City
AP 69 0659,Hyundai Creta
AP 73 3964,Tata Nexon
AP 74 0937,Honda City
AP 75 0432,Maruti Swift
AP 76 1057,Maruti Swift
AP 76 7141,Tata Nexon
AP 76 8579,Tata Nexon
AP 78 1648,Honda City
AP 79 7776,Honda City
AP 80 2848,Maruti Swift
AP 80 4816,Tata Nexon
AP 80 7661,Tata Nexon
AP 80 8154,Hyundai Creta
AP 85 8849,Tata Nexon
AP 86 5626,Honda City
AP 87 1328,Hyundai Creta
AP 87 5990,Maruti Swift
AP 87 6716,Tata Nexon
AP 89 3421,Hyundai Creta
AP 89 3498,Honda City
AP 89 7954,Tata Nexon
AP 90 0630,Tata Nexon
AP 91 9189,Maruti Swift
AP 94 3041,Honda City
AP 94 4302,Tata Nexon
AP 97 2586,Honda City
AP 99 8970,Tata Nexon
DL 01 9071,Honda City
DL 03 9643,Hyundai Creta
DL 04 7936,Honda City
DL 08 4359,Hyundai Creta
DL 09 3769,Honda City
DL 11 4086,Hyundai Creta
DL 16 0908,Maruti Swift
DL 20 1801,Hyundai Creta
DL 21 7206,Maruti Swift
DL 22 2690,Honda City
DL 22 4749,Maruti Swift
DL 25 8549,Hyundai Creta
DL 25 9369,Honda City
DL 26 6270,Honda City
DL 27 8895,Hyundai Creta
DL 29 5004,Hyundai Creta
DL 31 4863,Tata Nexon
DL 31 7551,Hyundai Creta
DL 32 4351,Maruti Swift
DL 33 6247,Hyundai Creta
DL 33 7783,Tata Nexon
DL 39 2267,Hyundai Creta
DL 42 5866,Honda City
DL 44 5061,Maruti Swift
DL 47 7953,Maruti Swift
DL 49 2360,Honda City
DL 49 4410,Hyundai Creta
DL 49 9864,Maruti Swift
DL 50 8962,Tata Nexon
DL 53 1646,Tata Nexon
DL 53 8451,Maruti Swift
DL 54 0130,Maruti Swift
DL 56 1691,Hyundai Creta
DL 56 3937,Maruti Swift
DL 56 7262,Honda City
DL 58 8405,Honda City
DL 59 3073,Tata Nexon
DL 61 2826,Honda City
DL 62 7277,Honda City
DL 64 2104,Tata Nexon
DL 66 1729,Maruti Swift
DL 66 7577,Maruti Swift
DL 67 3307,Hyundai Creta
DL 67 7003,Honda City
DL 68 8110,Hyundai Creta
DL 69 9522,Hyundai Creta
DL 70 5969,Hyundai Creta
DL 72 7687,Tata Nexon
DL 79 4874,Tata Nexon
DL 82 7527,Tata Nexon
DL 83 9489,Tata Nexon
DL 84 0808,Hyundai Creta
DL 86 9778,Honda City
DL 87 2209,Tata Nexon
DL 89 0118,Hyundai Creta
DL 89 1787,Tata Nexon
DL 89 4483,Maruti Swift
DL 89 5586,Tata Nexon
DL 90 8254,Tata Nexon
DL 91 2986,Tata Nexon
DL 95 9407,Hyundai Creta
DL 96 5673,Tata Nexon
DL 98 8033,Maruti Swift
DL 99 1710,Hyundai Creta
GJ 04 9859,Honda City
GJ 07 3611,Honda City
GJ 07 5709,Maruti Swift
GJ 11 8352,Honda City
GJ 13 8399,Maruti Swift
GJ 15 2402,Honda City
GJ 21 3151,Maruti Swift
GJ 22 9682,Hyundai Creta
GJ 25 9486,Hyundai Creta
GJ 26 1088,Tata Nexon
GJ 26 8184,Honda City
GJ 30 3138,Maruti Swift
GJ 30 9741,Maruti Swift
GJ 32 9618,Tata Nexon
GJ 33 4831,Maruti Swift
GJ 34 6996,Hyundai Creta
GJ 38 6717,Hyundai Creta
GJ 40 4865,Tata Nexon
GJ 40 7720,Maruti Swift
GJ 44 4081,Hyundai Creta
GJ 47 1859,Hyundai Creta
GJ 48 8998,Tata Nexon
GJ 49 4024,Tata Nexon
GJ 49 8959,Hyundai Creta
GJ 50 3379,Honda City
GJ 52 5359,Honda City
GJ 54 0553,Honda City
GJ 55 4906,Honda City
GJ 56 6916,Maruti Swift
GJ 57 4616,Tata Nexon
GJ 58 0108,Maruti Swift
GJ 59 3037,Maruti Swift
GJ 59 3571,Maruti Swift
GJ 59 5979,Hyundai Creta
GJ 62 6213,Tata Nexon
GJ 63 8252,Hyundai Creta
GJ 64 1678,Tata Nexon
GJ 66 3931,Tata Nexon
GJ 66 7226,Honda City
GJ 68 1208,Maruti Swift
GJ 68 2485,Maruti Swift
GJ 68 8085,Honda City
GJ 72 5293,Hyundai Creta
GJ 74 2817,Tata Nexon
GJ 74 3814,Maruti Swift
GJ 74 7324,Hyundai Creta
GJ 76 6267,Honda City
GJ 78 4453,Maruti Swift
GJ 80 8146,Hyundai Creta
GJ 81 1344,Honda City
GJ 81 7067,Honda City
GJ 82 6770,Maruti Swift
GJ 83 9035,Maruti Swift
GJ 84 7704,Hyundai Creta
GJ 88 3410,Honda City
GJ 88 8653,Honda City
GJ 90 2332,Honda City
GJ 91 5347,Maruti Swift
GJ 91 6646,Tata Nexon
GJ 91 8199,Honda City
GJ 92 3586,Hyundai Creta
GJ 93 3288,Hyundai Creta
GJ 96 4904,Hyundai Creta
GJ 96 9841,Honda City
HR 01 8128,Tata Nexon
HR 01 8941,Hyundai Creta
HR 04 5408,Tata Nexon
HR 04 6219,Maruti Swift
HR 04 8172,Hyundai Creta
HR 05 4640,Honda City
HR 05 4806,Hyundai Creta
HR 06 3873,Tata Nexon
HR 09 7394,Hyundai Creta
HR 11 8607,Hyundai Creta
HR 12 1311,Hyundai Creta
HR 17 8801,Tata Nexon
HR 18 7158,Honda City
HR 21 7696,Tata Nexon
HR 25 4984,Honda City
HR 25 5152,Tata Nexon
HR 25 9522,Maruti Swift
HR 26 8626,Honda City
HR 29 1201,Hyundai Creta
HR 29 7157,Tata Nexon
HR 29 8366,Hyundai Creta
HR 32 9346,Honda City
HR 33 8236,Maruti Swift
HR 35 5942,Hyundai Creta
HR 36 8735,Tata Nexon
HR 38 2224,Honda City
HR 38 5642,Honda City
HR 38 6176,Honda City
HR 40 6021,Honda City
HR 41 0760,Honda City
HR 43 2918,Tata Nexon
HR 44 0070,Honda City
HR 46 1699,Tata Nexon
HR 50 2063,Hyundai Creta
HR 55 9965,Tata Nexon
HR 56 9823,Tata Nexon
HR 58 1143,Tata Nexon
HR 60 2940,Tata Nexon
HR 64 5176,Hyundai Creta
HR 65 4640,Maruti Swift
HR 69 5952,Hyundai Creta
HR 71 7759,Maruti Swift
HR 72 2441,Hyundai Creta
HR 75 3230,Hyundai Creta
HR 78 7035,Honda City
HR 80 0756,Honda City
HR 84 0309,Hyundai Creta
HR 84 3146,Honda City
HR 84 7488,Honda City
HR 85 2183,Maruti Swift
HR 85 8082,Tata Nexon
HR 86 8426,Hyundai Creta
HR 87 1156,Tata Nexon
HR 88 4099,Maruti Swift
HR 88 6622,Honda City
HR 90 4589,Hyundai Creta
HR 90 6506,Tata Nexon
HR 91 3841,Maruti Swift
HR 92 7089,Hyundai Creta
HR 93 5240,Maruti Swift
HR 94 4042,Honda City
HR 95 2598,Honda City
HR 95 4283,Honda City
HR 96 0498,Honda City
HR 96 9155,Honda City
HR 97 2303,Maruti Swift
HR 97 4748,Maruti Swift
HR 97 5079,Hyundai Creta
HR 97 6686,Maruti Swift
HR 98 6878,Tata Nexon
KA 02 6673,Tata Nexon
KA 02 7459,Honda City
KA 03 1079,Hyundai Creta
KA 05 7389,Honda City
KA 07 4977,Tata Nexon
KA 08 5762,Hyundai Creta
KA 09 3913,Hyundai Creta
KA 09 4691,Tata Nexon
KA 11 3792,Maruti Swift
KA 11 5642,Hyundai Creta
KA 12 1850,Maruti Swift
KA 17 6782,Tata Nexon
KA 18 9677,Maruti Swift
KA 19 7895,Honda City
KA 21 8004,Hyundai Creta
KA 23 3328,Maruti Swift
KA 24 4950,Maruti Swift
KA 25 5224,Tata Nexon
KA 25 7163,Tata Nexon
KA 29 1274,Maruti Swift
KA 29 2468,Hyundai Creta
KA 30 4256,Maruti Swift
KA 30 4523,Hyundai Creta
KA 30 7204,Honda City
KA 31 0991,Maruti Swift
KA 32 3209,Maruti Swift
KA 36 2453,Tata Nexon
KA 37 8586,Tata Nexon
KA 38 0236,Honda City
KA 40 4420,Tata Nexon
KA 41 7794,Maruti Swift
KA 44 9503,Maruti Swift
KA 45 4213,Honda City
KA 45 5657,Maruti Swift
KA 45 9733,Hyundai Creta
KA 48 8292,Tata Nexon
KA 56 1295,Maruti Swift
KA 60 1642,Maruti Swift
KA 62 7082,Honda City
KA 63 1760,Maruti Swift
KA 64 5722,Tata Nexon
KA 67 6303,Honda City
KA 70 1410,Hyundai Creta
KA 70 2246,Maruti Swift
KA 72 9030,Hyundai Creta
KA 73 8850,Honda City
KA 77 4731,Honda City
KA 78 0816,Maruti Swift
